title,Zip Code,website,latitude,longitude,type,Activity,Adult Club,LGBT +,price,thumbnail,description
Bar Botanico,15201,http://barbotanico.com/,40.4713683,-79.9601177,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerS_gXu5fUNmw7mU1mSheDMM8sZmfeK58aTQJXVx3PLu966IzattrKgzhCcoan0A7R-ISCJHMfz49D0gllCzfEXgKSpIJxnU0GA_kAma6h-ctgMYtspQNfideu3WVXIm-ePl5OS=s1024-v1,
Belvedere’s Ultra-Dive,15201,http://belvederesultradive.com/,40.4689441,-79.9615335,Night club,,,,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7cXE9C8ysCg4F5bpUD7Wu23bE2qHzQ_cfG-uK0rOxZpXlu93LGKIZe0pt_gHk7Nmc82gyGuortJCPhYGGYCTpfXmMJ77cndZanpSClQQmnMWZ4QlUxcsWnsS3yI52TEvXHK64=s1024-v1,"Easygoing hangout with live music & pool. Live music, DJs & karaoke in a no-nonsense, arty space with pool tables & a full bar."
Blue Moon,15201,http://bluemoononbutler.com/,40.4788378,-79.9555158,Bar / Pub,,,1,$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq38VqUKsrukZNVNRPhlV8jUAZjp9jBoNPOzOEnd8Qg37dqirWcWdRDU2cV1f3MJD0BZ2zVdjAmzu2JIEyVuMIiRfv4DtgidWz2RvhGWJS_fqLtPN79mllHNOi1gHlfGHridkBIlw=s1024-v1,"LGBT-friendly bar & drag show spot. LGBT-friendly, wood-paneled tavern offers frequent drag shows & draws a mainly gay male crowd."
Burghers Brewing Company Lawrenceville Tap House,15201,http://burgherspgh.com/,40.4655084,-79.9653805,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqnkmyz7bW5f-rWGQnyv3oMAkO5AxhlZv9WyzZkRI1eg5obSYtVz3B1av-dT2cGxPVXeIpbHp3K-xZtURFFfhkFPxxzfTT2I2qeWhN8c9JmfeFjIm4ISP4l2OPpYzVfUfcU3Y8uOw=s1024-v1,"Farm-to-table burgers & shakes. Upbeat spot offering build-your-own burgers & other locally sourced fare, plus shakes & sodas."
Cheerleaders Pittsburgh,15201,http://cheerleaderspittsburgh.com/,40.4588206,-79.9707548,Night club,,,,$$,https://lh3.googleusercontent.com/p/AF1QipMSHrto_j_S32F-nI0ZwF5WqB3L_J80e2bJN9_V=s1024-v1,
Coven Brewing,15201,http://covenbrewingpgh.com/,40.477254,-79.9570836,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerddF0TMePAAjpPrhzTzHOpiSDBoFz8xZ32-TAUS5fgw9EXeE98Gv0nMFiZ9Q4-r8KLXGPOyn4t0gSuc-F04WfOvflGUGnIoduKDadPIief-u2XmEyDjegs6_jCeLfl5nRWQ1P_lw=s1024-v1,
Eleventh Hour Brewing,15201,http://www.11thhourbrews.com/,40.467035,-79.9654264,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAwertLcMp3XfeW-EqavdcAYCkXAtZaCgtFCiD7U1mDv_6DNk216JPUE9Jk6oGuK4nmRSQBKs79NtZSwaepJoB7AMeox4PPfy1sGrecuEFMFzSQVd0KJfGae03FBbNAD4b63UqIcsc=s1024-v1,
Hop Farm Brewing Company,15201,http://hopfarmbrewingco.com/,40.4845124,-79.9480268,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOlRgvN0AX_fBG9t5sK5dOQEixjfItNSOMUj09_XTMK1YDfFv1G4mLqj1viMZxecqNj-IS_UjFEa0Gi9hXQ8KZ0Cr-WgLqOqddxnB6S31XuIrZ2I1LygZUMUUIdudRZDCqyMO5wdXeuVc=s1024-v1,
Lolev Beer,15201,https://lolev.beer/,40.4816217,-79.9538576,Winery/ Brewery,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCOl7bkpqwuTxE89q1CkyD6NBF7GY_XkWO6I4sMUELGiRsAvPa1LXaoukucwgJIcDABZ4ZSVmqLRkPRUYmEC1LoK3L-ntV_I_zcPw4RVArI00KS6BOQ9vOKDt4u4DrU46_J3dszo5Jwac=s1024-v1,
Long Story Short,15201,https://www.cinderlands.com/locations/long-story-short,40.4665041,-79.9647863,Bar / Pub,,,,$$,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVYF3LEDzuPhO4uyxEgNSWs6ZDoi3D924VavF8ES3mL4vTYfycBMD_HyyhnXrLfyet6OpYpaBLgS05LDUkgKqIW6ihtbLkPEDRuMWUoG0TDDNm78CRe4_WV4QHvN5EY2XDOLjXvA=s1024-v1,Housemade brews & from-scratch plates. Elevated bar bites & house beers are served in a rustic brick-walled setting with a warm vibe.
